title,label
 <기고> 육군의 미래… 양자정보통신기술,1
 국방과학 핵심기술 한눈에…다양한 밀리터리 체험도,1
 원자재 가격 급등에 어려움 겪는 방산업체 목소리 청취·개선방안 모색,1
'1.8조' 노르웨이 전차 사업자 내년 선정…현대로템·레오파드 '2파전',1
'1300억 조세 포탈' LIG 구본상·구본엽 무죄,1
"'15년째 제자리' 특수전 함정, 재추진 '불씨' 살리나",1
'1조딜 놓칠라'…한미 방위비협상에 英 '못마땅',1
"'2020 대한민국 방위산업전', 9월 16~19일 고양 킨텍스서 열려",1
'2022년 공군을 빛낸 인물' 시상식,1
"'22사단 싹 바꾼다'…군, 3월부터 재창설 수준 리모델링 착수",1
"'2조 원 규모' 합동 이동표적 감시통제기 사업, 누가 따낼까",1
"'3.9조' 수출 시작…KAI, 폴란드향 FA-50 1호기 출고",1
'4조 수출' 천궁2 신화 잇나…이집트 진출 노리는 'K9 자주포',1
"'5년 지연' 軍 훈련 헬기 사업 재개…방사청, 3차 입찰공고",1
'6G 시대' 대비 위해 산·학·연 뭉쳤다…위성통신 포럼 출범,1
'7조 차기 구축함' 둘러싼 한화-현대 소송전... 공정성 vs 적임자 충돌,1
'7차 임박설' 예측도 빗나갔다…잊혀진 北 핵실험의 계절,1
'AI 킬러 로봇'이 현실로…'무기 실리콘밸리' 된 우크라,1
'AI 혁신' 돕는 창원산단…소·부·장 기업 키운다,1
'Buy 코리아' 외면하는 軍,1
'D-Day'의 'D'는 무슨 뜻일까?,1
"'DX코리아 2020', 정상개최 확정…실구매자 '해외 VIP' 유치에 총력",1
'K-방산 선구자' K9자주포 2차 성능개량 본격화…자동장전 채택,1
"'K-방산 수출시대, 경남 경제 활성화 방안'…창원서 토론회",1
'K-방산' 잠재 고객들에 천검·천무 등 실사격 시범,1
"'K-방산', 이제는 잠수함이다…북미·유럽 시장 공략",1
'K-방산현재와 미래' 2022 충무공이순신방위산업전 6일 개막,1
"'K2 전차' 1년 반 늦게 납품한 현대로템, 배상액 960억이나 깎인 이유는",1
'K2·K9 수출길 넓어지나'… 한·루마니아 국방장관회담,1
'K9 자주포 이집트 수출' 막후엔 '가격 인하' 거부한 文 대통령 결단 있었다,1
"'K9 자주포, 대공미사일' 동유럽 수출 본격화할까…루마니아와 수출 타진 중",1
"'K9 자주포' 이집트 수출, 아직 선수금도 못 받았다…본계약 '늦장'",1
'KADEX 2024' 국방부 공식 후원 승인,1
'K방산 수출 관문' 폴란드 대통령 내달초 방한,1
'K방산' 수출 폴란드 이어 UAE…육군·공군총장이 앞장,1
"'LIG넥스원 인수' 고스트로보틱스 '비전60', 이스라엘 軍 통해 전장 성능 극대화",1
"'NASA 흉내내기' 우주청, 전략분야도 못 정했다",1
"'SKT UAM 파트너' 조비, 美 캘리포니아에 에어택시 충전소 구축",1
'강등되고도 대남 스피커'... 北김여정 담화 궁금증 3제,1
'강성' 신원식 장관 내정에 軍도 긴장…청문회 문턱 넘을까,1
"'거북선처럼 AI를 게임 체인저로'… 해군 ""2045년 全영역 적용""",1
"'경항모 사업' 이견에 예산안 합의 결렬…與 ""국방 위해""vs野 ""알박기""",1
'계획된 일만' 하는 정부? 우주R&D 무너진다,1
'고사 직전'의 방위산업…‘과도한 정부 방산 길들이기’ 논란,1
'고체연료 발사체' 성공에도 처우개선 '0원'‥위기의 국방과학연구소,1
"'공개채용 vs. 영업비밀 침해'..KAI-한화시스템, 소송전 돌입",1
'공군 李중사 사건' 가해자 장 중사 오늘 결심 공판,1
"'공룡' 국방부, '2차관' 눈독... 盧 정부가 만든 방사청 힘 빼기?",1
'공멸위기' 몰린 항공제조업계… 중소 협력사 ‘눈물의 휴업’,1
"'공중 충돌' 육군 수리온 헬기, 지난주부터 비행 재개",1
